"Data Source","World Development Indicators",

"Last Updated Date","2016-12-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bulgaria","BGR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4077759","4012464","3951618","3885957","3830870","3775479","3710631","3645461","3576261","3505004","3431024","3508477","3427725","3366013","3416033","3354911","3478376","3510540","3576251","3498842","3408537","3336394","3344681","3335363","3318342","","",
"Bahrain","BHR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","214616","223111","231057","239482","248069","257123","264820","273608","282763","292571","303604","322472","339082","358065","382424","419062","474666","538940","605110","666038","714013","736724","747732","749775","750065","","",
"Bahamas, The","BHS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124701","129510","133740","137740","141687","142857","142715","142020","140683","144487","148465","153698","159223","165062","171214","177842","183205","188975","195097","201307","207122","211384","215810","220087","223955","","",
"Bosnia and Herzegovina","BIH","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1591236","1550039","1490980","1430566","1387282","1380448","1398676","1387384","1386002","1386651","1388482","1389957","1392714","1400099","1402150","1403386","1405664","1440312","1464375","1455936","1479112","1479287","1485855","1490472","1496651","","",
"Belarus","BLR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5280633","5212150","5164249","5112867","5055862","4992353","4933879","4877265","4818640","4768785","4763221","4722075","4695771","4665403","4631035","4590653","4546515","4506545","4468015","4429643","4452694","4464844","4473876","4482659","4489036","","",
"Belize","BLZ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62883","63965","64727","65737","67408","71091","75573","79165","82999","86751","90277","93873","97345","100804","104405","108407","113331","118665","124012","129690","135264","140182","145024","149649","154602","","",
"Bermuda","BMU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2664797","2744403","2827995","2919814","3011116","3110480","3243001","3381475","3461699","3543530","3626618","3717931","3817291","3913603","4011745","4111689","4218626","4333510","4438610","4559198","4677124","4789654","4905914","5025123","5145858","","",
"Brazil","BRA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62785855","66647906","70625546","72133325","74007634","75947050","75589700","78249218","80136642","82880370","84303353","85569837","88407701","90365504","93081751","95902564","97159118","98225866","100111635","101850665","103742031","105322426","106952122","108384636","109842906","","",
"Barbados","BRB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","136600","134863","137019","138607","139992","142064","141266","142382","143936","145213","146810","148568","148004","149461","152015","153357","154496","155722","157194","158583","159399","160621","161442","161908","162318","","",
"Brunei Darussalam","BRN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109728","113909","118033","122345","126585","131124","135710","140508","145460","150536","155484","160014","163681","167247","170750","174049","177283","180787","184071","187494","190721","194280","197450","200383","203304","","",
"Bhutan","BTN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194868","193552","190056","185967","182771","181882","185623","191865","200432","211063","223525","238958","255854","273303","290188","305530","318098","329044","338870","347915","359928","370666","382265","393397","404127","","",
"Botswana","BWA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","560404","583174","607792","632487","657799","684382","707893","731635","756413","779973","804207","825365","846393","867626","889551","912587","937883","965353","992368","1019910","1047659","1075202","1102755","1128703","1155963","","",
"Central African Republic","CAF","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300527","1334298","1374346","1414278","1455887","1496097","1535116","1570310","1605600","1643480","1682062","1710549","1740815","1777413","1811296","1849635","1887741","1931598","1978560","2028320","2080519","2130522","2182150","2235689","2291727","","",
"Canada","CAN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14720716","14817926","14778266","14878086","14990723","15049654","15188475","15439793","15702447","15991000","16241240","16497891","16936203","17345152","17582282","17716482","17917851","18287523","18597272","18720939","18916946","19065771","19291542","19516479","19726591","","",
"Central Europe and the Baltics","CEB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51814926","51566706","51330718","51223338","51097374","51008981","51060081","51294845","51115704","51028658","50889089","50698296","49283363","49288542","49325616","49146798","49346967","49266681","49429973","49530294","49595317","49396681","49720262","49760313","49712207","","",
"Switzerland","CHE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3777609","3863042","3899910","3921316","3898765","3908547","3933944","3925798","3969723","3993418","3997815","4056699","4092007","4140132","4150477","4171576","4236518","4307227","4407739","4481975","4513247","4582383","4636511","4700905","4753196","","",
"Channel Islands","CHI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67134","67899","68721","69249","69510","69680","70358","70938","71684","72504","73413","74340","75194","75936","76545","77147","77541","78263","79016","79885","79905","80468","80874","81250","81607","","",
"Chile","CHL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5026449","5109295","5321386","5559845","5653196","5653530","5707395","5841069","5954272","6049691","6094320","6126804","6195519","6371967","6563761","6757806","6950903","7147216","7436254","7547660","8017347","8318491","8447078","8603142","8745002","","",
"China","CHN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","637334236","645035504","654895789","665456534","674951877","683685679","695031065","704441984","712175657","719956928","729490391","735540448","742455842","749740411","756305157","762608154","767136988","772098426","776125592","779867875","781054640","790183028","795863202","801790592","806498521","","",
"Cote d'Ivoire","CIV","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4518149","4682751","4857550","5039835","5225436","5410966","5570986","5730485","5887164","6056873","6211413","6328390","6439997","6551056","6677206","6803313","6939893","7098491","7270630","7446000","7645721","7842703","8064563","8298241","8540700","","",
"Cameroon","CMR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4357327","4505757","4655593","4813642","4980897","5150486","5308473","5468407","5637223","5813639","6005388","6181207","6363630","6552991","6759831","6975174","7181779","7411192","7640452","7888819","8144608","8384829","8634358","8906179","9176788","","",
"Congo, Rep.","COG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","891079","920951","950971","983868","1018054","1051803","1087031","1123500","1162420","1199866","1238972","1270393","1303913","1338687","1373958","1414518","1459087","1507477","1558380","1610253","1662041","1702069","1744365","1785022","1827861","","",
"Colombia","COL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11775378","12088519","12381749","12703528","13346781","14040625","14751573","15496101","16269870","17090350","17898299","18707196","19548707","20371314","20190370","20485594","20255802","20399489","20961989","22152535","22679417","23102781","23507707","23900105","24290685","","",
"Comoros","COM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119218","123099","127478","131876","136509","141366","146073","151212","156243","161733","167706","173559","179628","186223","192984","199895","206794","213877","221150","228245","235967","242869","250003","256908","263991","","",
"Cabo Verde","CPV","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113732","116903","120407","124563","129080","133664","138221","142726","147641","152582","158091","164481","171186","178055","185081","191484","198075","204051","209714","215461","221793","226770","232613","238363","244001","","",
"Costa Rica","CRI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1180880","1206239","1231404","1284568","1331624","1397096","1397815","1494247","1577171","1610080","1620309","1733944","1771082","1807689","1822347","1927518","1969572","2041896","2064828","2100269","2149412","2191395","2234763","2278411","2316957","","",
"Caribbean small states","CSS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2466656","2475902","2518159","2553468","2595017","2617856","2647296","2664981","2679971","2705162","2729092","2759567","2786169","2823791","2866142","2919773","2961489","3003296","3048822","3046208","3068778","3105260","3151555","3192294","3228506","","",
"Cuba","CUB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4365885","4430217","4486909","4535822","4587744","4620022","4654192","4669997","4673458","4680540","4685624","4693134","4708317","4727071","4733299","4804721","4866586","4995846","5075241","5237418","5271515","5307360","5333816","5359653","5383687","","",
"Curacao","CUW","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","319300","330875","334823","348818","354723","361526","375224","383879","391634","402453","445051","466994","479665","500227","515427","523972","537129","550172","559632","570733","584478","585842","593526","603797","613733","","",
"Czech Republic","CZE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4920754","4982541","5033466","5082757","5142683","5157767","5159938","5176289","5198528","5218349","5184414","5162048","5157254","5138524","5130422","5171223","5174989","5179883","5205305","5248399","5236138","5238991","5282878","5337984","5341662","","",
"Germany","DEU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37331150","39982626","39923416","39904074","39835400","39888764","40138610","40382375","40644406","40467054","40417821","40539562","40500916","40301960","40768966","41271369","41616206","41855864","41910666","41935807","41936673","42444325","41732006","42755645","42213451","","",
"Djibouti","DJI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152587","157688","163414","168867","174002","178954","184306","189767","195224","200733","206889","213238","219667","226960","233962","241436","248889","256072","263871","271640","279837","286364","293273","300091","307005","","",
"Dominica","DMA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2913557","2908032","2917189","2895167","2780550","2824150","2836908","2858277","2847542","2879569","2864614","2854222","2881851","2873913","2906695","2902347","2932860","2932714","2964656","2951133","2930964","2929576","2916791","2901679","2920484","","",
