"Data Source","World Development Indicators",

"Last Updated Date","2016-12-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Equatorial Guinea","GNQ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","201798","205967","210600","215431","220739","226084","232427","239061","246149","254482","263553","273224","283748","295135","306915","318803","330237","341843","353662","365856","378516","390757","403627","417457","431124","","",
"Greece","GRC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4203811","4161228","4269064","4320079","4402755","4485086","4584720","4608441","4733942","4787367","4821577","4771995","4832611","4894742","4965915","4983036","5029650","5035453","5050105","5111194","5127486","5063939","5017360","4979892","4937216","","",
"Grenada","GRD","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3211385","3299485","3381417","3470176","3558416","3658302","3756769","3862775","3974391","4088037","4208711","4335561","4463966","4594955","4738245","5026944","5314525","5477002","5662214","5852758","6047526","6239456","6432357","6627755","6827724","","",
"Guam","GUM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59848","61201","62531","63814","64954","65963","66874","67783","68573","69313","69967","70371","68815","69248","69635","70347","72032","69795","70444","71129","72244","73693","74898","76249","77646","","",
"Guyana","GUY","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","276219","275240","276632","278590","279628","281020","284443","286949","288876","288794","287218","287730","286587","284397","282448","282272","285579","289801","295434","300419","305059","311922","318106","323522","328686","","",
"High income","HIC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","469800516","475918642","478619204","481450908","485837181","490473822","495731260","501045851","505271902","509721657","514444049","517918415","522038449","526330471","531746539","538451898","544963982","550994642","557846793","560874587","563936379","566346752","570844881","575668070","578614248","","",
"Hong Kong SAR, China","HKG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2848470","2901759","2894963","2933300","2998813","3075620","3203154","3224725","3261548","3303770","3349817","3404400","3466854","3473881","3527018","3562124","3612511","3667834","3690463","3704351","3675363","3697504","3730947","3733365","3745415","","",
"Honduras","HND","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1591408","1641930","1713174","1771943","1832265","1894256","2042406","2111684","2210140","2346959","2367333","2377592","2359678","2413144","2467974","2545026","2627053","2715531","2801722","2899155","2993957","3084270","3181474","3274863","3373490","","",
"Heavily indebted poor countries (HIPC)","HPC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139583078","143703617","148207901","152918938","157978049","163141573","167890640","172743256","177926090","183390622","189259675","194922422","200967393","207265515","213782357","220696106","227458496","234644344","242187143","250078033","258367350","266418226","274940123","283732638","293038612","","",
"Croatia","HRV","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2189258","2079581","2049906","2116354","2113085","2109581","2023959","2049771","2010898","2027643","1961402","1950236","1936682","1950652","1999813","1998886","1986023","1992884","1986402","1971428","1945321","1866146","1852524","1852243","1845114","","",
"Haiti","HTI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2697612","2741172","2783526","2827337","2871819","2922569","2970455","3023558","3080171","3142301","3203525","3287526","3373044","3470620","3563982","3664188","3760884","3863486","3960735","4066005","4180263","4280463","4383867","4489196","4594342","","",
"Hungary","HUN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4525874","4488785","4531618","4369314","4241761","4171889","4131679","4068868","4061018","4152881","4178897","4160608","4161760","4229202","4223136","4270023","4305542","4292311","4269983","4271901","4310481","4335541","4391290","4388159","4384465","","",
"IBRD only","IBD","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1520683622","1545560600","1573847223","1600202025","1627317986","1656054641","1684324854","1710857762","1735972083","1771743086","1798042123","1827292821","1856619544","1888284484","1921376750","1954090006","1969654721","1987467596","2004198514","2020547901","2034211236","2059646719","2081486393","2109051094","2134521232","2158581693","",
"IDA & IBRD total","IBT","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1878061993","1912697315","1951129801","1987639733","2025981599","2065234380","2104599118","2142873981","2180124376","2228089327","2267257566","2308955289","2351249614","2396332630","2443248158","2491118402","2522011506","2553677333","2585241126","2617326148","2647363063","2688964293","2727330445","2772014585","2815123889","","",
"IDA total","IDA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","357378371","367136715","377282578","387437708","398663613","409179738","420274263","432016219","444152293","456346241","469215443","481662467","494630071","508048146","521871408","537028396","552356785","566209737","581042612","596778247","613151827","629317574","645844052","662963491","680602656","698683371","",
"IDA blend","IDB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124488094","127421157","130531173","133454475","137024838","139618846","143499417","147801953","151989018","156056248","160429069","164349913","168401069","172684995","177277161","182741459","188506511","192354421","196878254","202116714","207367954","212463054","217453518","222813896","227998468","","",
"Indonesia","IDN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75542769","77307862","78914502","81870338","84403885","87543334","90417398","90389678","91706362","96987970","98826372","100218844","101540073","103423950","105304929","107363088","109356104","111244331","113031121","115053936","116495844","118515710","120426769","122125092","124061112","","",
"IDA only","IDX","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","232890278","239715558","246751405","253983232","261638775","269560892","276774847","284214266","292163275","300289993","308786374","317312554","326229001","335363151","344594247","354286937","363850275","373855316","384164359","394661532","405783873","416854520","428390533","440149595","452604189","465381211","",
"Isle of Man","IMN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","329095256","336942822","344967482","353230752","361244311","368396898","376098587","383437873","390979177","398642671","406359368","418539057","430329762","442356898","454552446","467648895","468800170","469653873","470196564","471283494","471277041","475090729","477952680","487882088","496960163","","",
"Not classified","INX","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1344829","1374280","1369885","1401522","1440276","1465234","1515211","1554683","1632128","1705749","1765123","1808378","1859366","1902489","1957887","2065722","2149222","2230874","2254569","2233146","2201766","2183383","2173816","2184313","2185058","","",
"Iran, Islamic Rep.","IRN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14050059","14397690","14581764","14758080","14968804","15240793","15633606","16373368","17162944","18019910","18934562","19945801","21084340","22262316","23458085","24690252","24681275","24648548","23877005","24479785","25063987","25634378","26142944","26643005","27133460","","",
"Iraq","IRQ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3868399","3995136","4135112","4296518","4454734","4628392","4801560","4977596","5168976","5352206","5539690","5715239","5898232","6085492","6271621","6485793","6683193","6889558","7066683","7279573","7537886","7816058","8128224","8462404","8801559","","",
"Iceland","ISL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143061","145407","148989","148642","149909","153845","152468","153354","158092","162296","165913","168574","168605","170010","168833","174629","181695","186915","189229","186381","187373","186355","188188","190092","192535","","",
"Israel","ISR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1659290","1776126","1858133","1954820","2042239","2125546","2169908","2218679","2279194","2364635","2451268","2515427","2559497","2623377","2701482","2764873","2841701","2934230","3001555","3094675","3178473","3237078","3651862","3696036","3738337","","",
"Italy","ITA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23783659","23953565","23203031","23104170","22888548","22756086","22857998","22912610","23053670","23234106","23266851","23402126","23696361","24007186","24517266","24398501","24468885","24494220","24814346","24631267","24565621","24564145","25107404","25474177","25785202","","",
"Jamaica","JAM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1146543","1162608","1177017","1190679","1203449","1201248","1202247","1196627","1189853","1192278","1193590","1196469","1199178","1202445","1209412","1225473","1242926","1259763","1275025","1251057","1243185","1252719","1273616","1290799","1306181","","",
"Jordan","JOR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","708122","785502","853755","936466","1013170","1081474","1121096","1150268","1173067","1191705","1211304","1236456","1251458","1263552","1290221","1349640","1401307","1518465","1585225","1696932","1745432","1798868","1839931","1917828","1988636","","",
"Japan","JPN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63776258","65054277","65919306","66207851","66531608","66875024","67419977","67932928","68023400","67816424","67574865","67559626","67096096","66934130","66634040","66632180","66659393","66924367","66803519","66534845","66740831","65553960","65267847","65559495","65302348","","",
"Kazakhstan","KAZ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7819823","7871311","7889229","7873713","7799510","7711419","7659497","7605920","7526571","7517875","7549180","7635002","7707938","7755730","7798140","7945350","8088702","8259916","8422565","8700066","8848347","8984616","9095835","9197976","9284810","","",
"Kenya","KEN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8997534","9277142","9578076","9891812","10206230","10513901","10781978","11033334","11278596","11531445","11797233","12038058","12293429","12574323","12851380","13139098","13550233","13991044","14441823","14906964","15391124","15902458","16436192","16968667","17500228","","",
"Kyrgyz Republic","KGZ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1809407","1834995","1851813","1852829","1851531","1870842","1908169","1946536","1985448","2026930","2067014","2098046","2131880","2171686","2212302","2302121","2374365","2416908","2452118","2493129","2533335","2572454","2621907","2676690","2727997","","",
"Cambodia","KHM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4020897","4135580","4240520","4346701","4455524","4596511","4718949","4920051","5167686","5386387","5592324","5851956","6092843","6311456","6522716","6764797","7010816","7260101","7504873","7701899","7900746","8076054","8260853","8446339","8623857","","",
"Kiribati","KIR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19160700","19667124","20078836","20346466","20934037","21431686","21838418","22319840","21994278","22247087","22664811","23006977","23433976","23435054","23909321","24115234","24288702","24499326","24606210","24608118","24955811","25365683","25767090","26119538","26356229","","",
"Kosovo","KSV","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kuwait","KWT","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","785834","795613","","","","763606","781807","814178","856087","901620","944590","980209","1014782","1050800","1088094","1131884","1203083","1283574","1371438","1475943","1580630","1681099","1790074","1898673","1992954","","",
"Latin America & Caribbean (excluding high income)","LAC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164216444","170567179","177611277","182228977","187408527","193138525","196379987","203568684","208850741","214656461","218628917","223988637","229854677","234080185","241027801","246622132","251465369","256331954","262033875","267193568","273079973","277388083","283529639","288366049","293188641","","",
"Lao PDR","LAO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1929198","1980692","2034157","2086248","2139067","2189992","2232113","2277254","2324653","2373241","2419821","2471891","2519699","2569080","2623194","2683146","2753295","2823821","2900576","2981671","3057796","3136943","3214438","3296672","3377525","","",
"Lebanon","LBN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","754907","784624","814799","847750","877725","904431","921453","941594","954421","983147","1022818","1069345","1130997","1203313","1263621","1325032","1370703","1400246","1427643","1470762","1544987","1644700","1773289","1914952","2037245","","",
"Liberia","LBR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","696642","686265","677226","672751","680203","700792","742745","801420","868191","932605","989943","1024662","1050315","1071050","1094327","1124879","1165053","1213349","1266422","1320205","1372283","1419287","1464049","1508322","1554233","","",
"Libya","LBY","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1235360","1279232","1334971","1390782","1450079","1512019","1578292","1645587","1712365","1777849","1846460","1913571","1983462","2047103","2109611","2169668","2222626","2277779","2323617","2356988","2376128","2376105","2357900","2341049","2324217","","",
"St. Lucia","LCA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58222","59671","60737","61966","63202","64531","65834","67421","69049","70837","72946","75291","77421","79604","81216","82952","83370","84902","87075","89430","91492","93038","94540","95933","97306","","",
"Latin America & Caribbean","LCN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172559805","179040998","186376840","191308773","196649048","202440801","205809855","213199636","218634540","224573177","228588298","234058744","240008347","244434733","251610217","257467466","262546953","267606801","273597227","278901244","285199088","289786339","296060066","301070826","306047485","","",
"Least developed countries: UN classification","LDC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","207684240","213685807","219857040","226233112","232959312","239908393","246166774","252732808","259790604","266975001","274657539","282631803","290987937","299477788","308117065","317075318","325696122","334518338","343651011","353242818","363224491","373393413","384029241","394948655","406507907","","",
"Low income","LIC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133834363","137632731","141677974","145835318","150125644","154553027","158475752","162630085","167057072","171638548","176957853","182244458","187883456","193623106","199510639","205573173","211498984","217605289","224036539","230868311","237998777","245113938","252675089","260469868","268716530","","",
"Liechtenstein","LIE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6656087","6750748","6836277","6988561","7088765","7084574","7201940","7331630","7901144","7794456","7775207","7820493","7853421","7877187","7810532","7928752","8423912","8255591","8293125","8316913","8251419","8328072","8407709","8490609","8576325","","",
"Lower middle income","LMC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","724030224","740404602","757627038","776547502","795958392","813946339","832996375","849233543","867552322","890278006","907983749","931046865","952389373","976801355","1001037103","1026922120","1040471961","1053155083","1066376824","1080753458","1094125131","1111583839","1127523397","1150644009","1173233357","","",
"Low & middle income","LMY","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1867832991","1902972460","1941544628","1977968087","2016552227","2056162796","2095771741","2134060564","2171333367","2219492030","2258738737","2300418732","2342980984","2388018717","2434734842","2482440088","2513420966","2545127252","2576376103","2608393652","2637915090","2679412966","2717717054","2762409128","2805579284","","",
"Lesotho","LSO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","668097","686391","703585","721933","739919","758109","770923","782736","793749","805431","804055","802508","800334","798315","796027","794535","793855","794700","795262","807379","821813","837193","854753","871441","889178","","",
"Late-demographic dividend","LTE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","965067758","978113591","992299410","1004488168","1015572140","1030315065","1044224577","1059090375","1071740584","1090140576","1105174360","1114784636","1127688661","1142197592","1155294219","1168645365","1177902777","1188783432","1199260080","1209020840","1215575794","1230538309","1241641056","1252536407","1261784566","","",
"Lithuania","LTU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1901177","1889248","1872840","1847730","1819761","1791673","1763220","1732901","1712422","1719176","1691109","1651115","1631856","1691658","1606664","1564042","1534900","1539075","1544690","1566437","1552274","1549472","1548650","1543768","1537729","","",
"Luxembourg","LUX","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159998","165671","170060","170231","171712","167651","171583","174152","176831","181887","188848","188995","194689","194660","201029","207436","213630","216346","221198","234836","237978","243183","253795","260057","266117","","",
"Latvia","LVA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1443693","1405778","1356869","1301616","1250882","1202755","1162469","1156791","1149525","1122716","1091093","1098235","1131110","1111382","1110553","1102913","1125976","1142186","1156609","1114604","1062383","1039596","1050359","1044148","1036589","","",
"Macao SAR, China","MAC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","154668","158710","163416","166793","169526","177446","204352","206432","209689","213002","216635","228878","229305","231608","243428","256312","272960","293127","309040","320920","332225","340769","348315","354890","360841","","",
"St. Martin (French part)","MAF","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7963686","8164681","8435508","8691240","8891005","9187778","9407660","9714488","9977274","10272754","10308497","10118147","10196547","10628871","10965842","11058255","11110967","11266899","11399841","11463562","11546230","11786152","12008703","12255617","12498273","","",
"Monaco","MCO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1790385","1781384","1773287","1762212","1747850","1731780","1722979","1707598","1695256","1682673","1668767","1623568","1621612","1472431","1435137","1426673","1341939","1311391","1300115","1246719","1219231","1240358","1195488","1218279","1236917","","",
"Madagascar","MDG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5460582","5616488","5799425","5999606","6201718","6405869","6605537","6801900","7000815","7214192","7448378","7674042","7923103","8182125","8462316","8740852","9098911","9458709","9833107","10226509","10616976","10968522","11322172","11688191","12077140","","",
"Maldives","MDV","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57094","59676","61804","64464","66180","70140","74102","76971","81777","87390","92704","99547","106332","114502","123379","133172","144697","154862","163965","166042","171934","178810","184534","189763","195149","","",
"Middle East & North Africa","MEA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69948517","71448717","72558493","75082015","77813809","80735022","82998627","85505186","88002575","91470243","94271975","96843429","99916234","104271193","108726178","113064415","115472205","119347000","121921048","125605023","129540094","133161387","136921668","140625273","143839637","","",
"Mexico","MEX","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30616435","31561579","32845083","34143659","34920892","35792063","36691092","38459672","39216738","39553734","40255073","40634819","41460586","41785099","43577324","44349073","46013944","47226857","48571994","48811501","50752609","51179005","53384447","54475981","55561477","","",
"Marshall Islands","MHL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle income","MIC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1733998628","1765339729","1799866654","1832132769","1866426583","1901609769","1937295989","1971430479","2004276295","2047853483","2081780884","2118174274","2155097528","2194395611","2235224203","2276866915","2301921982","2327521963","2352339564","2377525340","2399916313","2434299028","2465041965","2501939260","2536862755","","",
"Macedonia, FYR","MKD","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","807423","808181","807159","806004","802464","802113","806657","810417","816216","821838","833696","843303","851165","861010","833527","862876","887182","900635","917657","929328","938562","940890","940334","945779","952721","","",
"Mali","MLI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2293612","2336986","2390193","2455946","2532055","2606833","2678337","2750305","2832992","2915078","3013986","3099860","3198290","3309909","3422291","3706584","3987538","4294976","4605631","4939769","5273370","5431271","5580997","5747875","5924862","","",
"Malta","MLT","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140171","142022","143162","144486","145121","146439","148060","149034","150698","152299","153276","161173","161381","162159","159601","162993","164195","167827","170170","172356","176238","179894","184959","186854","189081","","",
"Myanmar","MMR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19807886","20289050","20746082","21198095","21671183","22177562","22699649","23248673","23808416","24351932","24893537","25351691","25778822","26175353","26548849","26908448","27224303","27543056","27836402","28181554","28513812","28899868","29340148","29765555","30217049","","",
"Middle East & North Africa (excluding high income)","MNA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60295167","61385509","62892693","65042538","67412371","69244329","71200175","73436055","75661670","78811699","81059299","83123129","85570529","89150397","92701222","96019277","97137221","99592143","100755206","103032940","105566373","108024570","110334220","112574740","114922246","","",
"Montenegro","MNE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","242785","245975","248722","250075","249962","249198","246610","244876","243629","245304","244736","246199","248066","249346","250002","250550","253036","256500","259130","256027","252433","243762","250181","251236","251741","","",
"Mongolia","MNG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","746384","772898","798348","818275","833673","846268","867373","887031","905233","925626","949229","973965","998764","1023799","1053381","1082715","1110625","1137949","1128918","1195855","1214656","1242648","1271429","1302234","1328054","","",
"Northern Mariana Islands","MNP","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5855545","6088496","6388602","6719831","7053880","7363034","7576099","7783976","8058896","8325262","8586945","8826152","9072126","9332167","9571237","9831851","10059185","10313145","10570412","10843766","11147472","11443004","11771674","12105211","12471084","","",
"Mauritania","MRT","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","532771","549800","570388","588551","613975","634126","657795","688245","717426","745195","779060","812694","849823","885090","921204","957829","978461","1022238","1057375","1099928","1135908","1169933","1205480","1242430","1280621","","",
"Mauritius","MUS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","443610","452393","461862","470898","480498","487564","493435","502250","510993","520565","528707","535577","535843","534596","533478","542709","545938","547800","554696","560828","572915","577450","582950","587691","592300","","",
"Malawi","MWI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3969429","4025510","4044094","4043735","4043055","4074381","4138519","4236326","4354452","4529825","4706499","4874264","5046682","5229913","5423710","5621755","5822891","5960505","6215057","6400092","6604663","6827132","7058544","7311315","7571373","","",
"Malaysia","MYS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7056530","7297011","7521320","7745536","7977909","8223801","8499389","8776086","9063842","9356915","9698272","9911657","10137583","10371777","10604684","10842949","11084342","11324964","11561841","11808466","12071734","12380480","12674755","12993428","13300027","","",
"North America","NAC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","142908390","143593801","145825568","147384494","149964247","151948011","154124554","156846417","159217587","161418291","163545839","164922504","166093386","167121320","168377247","170562616","172599721","174212936","176330541","176703252","176549458","177044867","178616382","179332296","180800969","","",
"Namibia","NAM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","446037","465930","485442","504889","524841","537102","551020","565640","590719","615243","638512","662868","685747","705754","726541","749086","772055","797927","824418","827513","831057","835757","839150","870140","901859","","",
"New Caledonia","NCL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69038","71494","74082","76730","79282","81637","83425","85116","87016","88777","90527","92558","94738","96499","97958","99349","101296","102654","104443","105941","108410","110385","112975","115102","117852","","",
"Niger","NER","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2343353","2435298","2540449","2660987","2784872","2919962","3056776","3200429","3350165","3500703","3664396","3805829","3959217","4110031","4268848","4429212","4580438","4734780","4899723","5084386","5274351","5467962","5676961","5899212","6132741","","",
"Nigeria","NGA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30043881","30788219","31635543","32532154","33417326","34343507","35194224","36095012","36972865","37946736","38875613","39626299","40482284","41221986","42063952","43250245","44459832","45659878","47008096","48330258","49706559","51167238","52600554","54199112","55784248","","",
"Nicaragua","NIC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1320007","1358491","1400862","1444698","1489888","1536240","1589443","1646332","1701203","1759344","1817749","1877348","1940049","1999582","2059098","2122119","2185060","2240154","2298203","2356120","2417957","2476267","2535353","2598729","2657353","","",
